album_title,genres,critic_score,user_score,track_number,track_title,track_length,featured_artists,track_rating,track_rating_count,release_year,release_month,spotify_found,spotify_query,track_id,track_uri,popularity,danceability,energy,valence,tempo,loudness,speechiness,instrumentalness,liveness,acousticness
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,1,Intro,0:19,,78,1909,2004,2,1,"track:""Intro""",2QAnRdO7qTAoY0XsqB5gcS,spotify:track:2QAnRdO7qTAoY0XsqB5gcS,53.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,2,We Don't Care,3:59,,93,4583,2004,2,1,"track:""We Don't Care""",0IW0qaeyxL5Et4UG2MrJKB,spotify:track:0IW0qaeyxL5Et4UG2MrJKB,67.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,3,Graduation Day,1:21,,82,2357,2004,2,1,"track:""Graduation Day""",7wL7Lb8Q3aYyq6gmRL0PZq,spotify:track:7wL7Lb8Q3aYyq6gmRL0PZq,55.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,4,All Falls Down,3:43,Syleena Johnson,96,4685,2004,2,1,"track:""All Falls Down""",5SkRLpaGtvYPhw02vZhQQ9,spotify:track:5SkRLpaGtvYPhw02vZhQQ9,84.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,5,I'll Fly Away,1:09,,83,2470,2004,2,1,"track:""I'll Fly Away""",4rJtUMlnhJzlzlnxyoc3tb,spotify:track:4rJtUMlnhJzlzlnxyoc3tb,57.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,6,Spaceship,5:24,"GLC, Consequence",94,4548,2004,2,1,"track:""Spaceship""",4JAwaqKeJ1hbyhvUjAQad8,spotify:track:4JAwaqKeJ1hbyhvUjAQad8,47.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,7,Jesus Walks,3:13,,96,4575,2004,2,1,"track:""Jesus Walks""",5g1vtHqi9uV7xtYeCcFOBx,spotify:track:5g1vtHqi9uV7xtYeCcFOBx,71.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,8,Never Let Me Down,5:24,"JAY-Z, J. Ivy",91,4413,2004,2,1,"track:""Never Let Me Down""",0s1QJOcvZKjSp3QrtAsRuh,spotify:track:0s1QJOcvZKjSp3QrtAsRuh,46.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,9,Get Em High,4:49,"Talib Kweli, Common",86,4314,2004,2,1,"track:""Get Em High""",5b2FFKC64kxqcfaFnIZxoM,spotify:track:5b2FFKC64kxqcfaFnIZxoM,60.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,10,Workout Plan,0:46,,74,1927,2004,2,1,"track:""Workout Plan""",2a1JSfTePKhysdIif2bzut,spotify:track:2a1JSfTePKhysdIif2bzut,51.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,11,The New Workout Plan,5:22,,88,4391,2004,2,1,"track:""The New Workout Plan""",1Vp4St7JcXaUoJcIahtf3L,spotify:track:1Vp4St7JcXaUoJcIahtf3L,63.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,12,Slow Jamz,5:16,"Twista, Jamie Foxx",94,4462,2004,2,1,"track:""Slow Jamz""",3A4cpTBPaIQdtPFb5JxtaX,spotify:track:3A4cpTBPaIQdtPFb5JxtaX,73.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,13,Breathe In Breathe Out,4:06,Ludacris,83,4261,2004,2,1,"track:""Breathe In Breathe Out""",6m16iU8EK8k38YqL8VoJQa,spotify:track:6m16iU8EK8k38YqL8VoJQa,51.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,14,School Spirit Skit 1,1:18,,78,1857,2004,2,1,"track:""School Spirit Skit 1""",25mwJPzWVmS2yronBNQJF1,spotify:track:25mwJPzWVmS2yronBNQJF1,49.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,15,School Spirit,3:02,,85,4117,2004,2,1,"track:""School Spirit""",1th3G3okofWlvGWAAR7Y4V,spotify:track:1th3G3okofWlvGWAAR7Y4V,57.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,16,School Spirit Skit 2,0:43,,78,1844,2004,2,1,"track:""School Spirit Skit 2""",5MAY7XyW322jMwLDtBQgsZ,spotify:track:5MAY7XyW322jMwLDtBQgsZ,49.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,17,Lil Jimmy Skit,0:53,,80,1915,2004,2,1,"track:""Lil Jimmy Skit""",4BhwlQ9mTwhFGXpQvP9JTV,spotify:track:4BhwlQ9mTwhFGXpQvP9JTV,49.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,18,Two Words,4:26,"Mos Def, Freeway, The Boys Choir of Harlem",95,4421,2004,2,1,"track:""Two Words""",62wtttQzoIA9HnNmGVd9Yq,spotify:track:62wtttQzoIA9HnNmGVd9Yq,64.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,19,Through the Wire,3:41,,97,4582,2004,2,1,"track:""Through the Wire""",4mmkhcEm1Ljy1U9nwtsxUo,spotify:track:4mmkhcEm1Ljy1U9nwtsxUo,76.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,20,Family Business,4:38,,96,4474,2004,2,1,"track:""Family Business""",5DBmXF7QO43Cuy9yqva116,spotify:track:5DBmXF7QO43Cuy9yqva116,70.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,21,Last Call,12:40,,94,4312,2004,2,1,"track:""Last Call""",7iOhWWYjhhQiXzF4o4HhXN,spotify:track:7iOhWWYjhhQiXzF4o4HhXN,62.0,,,,,,,,,
Late Registration,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,1,Wake Up Mr. West,0:41,,82,1685,2005,8,1,"track:""Wake Up Mr. West""",62KeM7jbmYvzT5FycdiQeS,spotify:track:62KeM7jbmYvzT5FycdiQeS,52.0,,,,,,,,,
Late Registration,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,2,Heard 'Em Say,3:23,Adam Levine,94,3722,2005,8,1,"track:""Heard 'Em Say""",6yIjtVtnOBeC8SwdVHzAuF,spotify:track:6yIjtVtnOBeC8SwdVHzAuF,67.0,,,,,,,,,
Late Registration,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,3,Touch the Sky,3:56,Lupe Fiasco,97,3828,2005,8,1,"track:""Touch the Sky""",2dxjKgT0li4qBI3QwuN9Ih,spotify:track:2dxjKgT0li4qBI3QwuN9Ih,79.0,,,,,,,,,
Late Registration,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,4,Gold Digger,3:27,Jamie Foxx,91,3716,2005,8,1,"track:""Gold Digger""",1PS1QMdUqOal0ai3Gt7sDQ,spotify:track:1PS1QMdUqOal0ai3Gt7sDQ,81.0,,,,,,,,,
Late Registration,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,5,Skit #1,0:33,,78,1462,2005,8,1,"track:""Skit #1""",164al00XRSLWG6h4hc12bD,spotify:track:164al00XRSLWG6h4hc12bD,50.0,,,,,,,,,
Late Registration,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,6,Drive Slow,4:32,"Paul Wall, GLC",90,3576,2005,8,1,"track:""Drive Slow""",5iHO0dAm9FmDA017mWdFkB,spotify:track:5iHO0dAm9FmDA017mWdFkB,63.0,,,,,,,,,
Late Registration,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,7,My Way Home,1:43,Common,86,3263,2005,8,1,"track:""My Way Home""",0TzIHqhAbvYR6qJKrMMFlk,spotify:track:0TzIHqhAbvYR6qJKrMMFlk,56.0,,,,,,,,,
Late Registration,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,8,Crack Music,4:30,The Game,86,3487,2005,8,1,"track:""Crack Music""",4fRTe59xEeNHT4uyAGsV27,spotify:track:4fRTe59xEeNHT4uyAGsV27,56.0,,,,,,,,,
Late Registration,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,9,Roses,4:05,,95,3642,2005,8,1,"track:""Roses""",3vv9phIu6Y1vX3jcqaGz5Z,spotify:track:3vv9phIu6Y1vX3jcqaGz5Z,81.0,,,,,,,,,
Late Registration,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,10,Bring Me Down,3:18,Brandy,88,3413,2005,8,1,"track:""Bring Me Down""",72ahyckBJfTigJCFCviVN7,spotify:track:72ahyckBJfTigJCFCviVN7,75.0,,,,,,,,,
Late Registration,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,11,Addiction,4:27,,87,3450,2005,8,1,"track:""Addiction""",01VzuxoBYMAJLObfU0w6dI,spotify:track:01VzuxoBYMAJLObfU0w6dI,63.0,,,,,,,,,
Late Registration,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,12,Skit #2,0:31,,77,1431,2005,8,1,"track:""Skit #2""",466XcSgGAiQxcDrcV0yoMP,spotify:track:466XcSgGAiQxcDrcV0yoMP,50.0,,,,,,,,,
Late Registration,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,13,Diamonds from Sierra Leone (Remix),3:53,JAY-Z,96,3625,2005,8,1,"track:""Diamonds from Sierra Leone (Remix)""",34KUIBsIUiPV7oCIzSdDAU,spotify:track:34KUIBsIUiPV7oCIzSdDAU,63.0,,,,,,,,,
Late Registration,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,14,We Major,7:28,"Nas, Really Doe",96,3732,2005,8,1,"track:""We Major""",46fk9wjYcPm0sgym2b7EEE,spotify:track:46fk9wjYcPm0sgym2b7EEE,66.0,,,,,,,,,
Late Registration,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,15,Skit #3,0:24,,76,1424,2005,8,1,"track:""Skit #3""",2Lrf6iSdWCaYhgPntk0Dth,spotify:track:2Lrf6iSdWCaYhgPntk0Dth,22.0,,,,,,,,,
Late Registration,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,16,Hey Mama,5:05,,95,3628,2005,8,1,"track:""Hey Mama""",285HeuLxsngjFn4GGegGNm,spotify:track:285HeuLxsngjFn4GGegGNm,75.0,,,,,,,,,
Late Registration,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,17,Celebration,3:18,,87,3397,2005,8,1,"track:""Celebration""",3K7Q9PHUWPTaknlbFPThn2,spotify:track:3K7Q9PHUWPTaknlbFPThn2,72.0,,,,,,,,,
Late Registration,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,18,Skit #4,1:18,,82,1537,2005,8,1,"track:""Skit #4""",3zXhvJaLpxefYIxBE0cnB0,spotify:track:3zXhvJaLpxefYIxBE0cnB0,45.0,,,,,,,,,
Late Registration,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,19,Gone,5:33,"Consequence, Cam'ron",91,3426,2005,8,1,"track:""Gone""",3Dy4xsff7c0fRaTJpA54yd,spotify:track:3Dy4xsff7c0fRaTJpA54yd,82.0,,,,,,,,,
Late Registration,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,20,Diamonds from Sierra Leone,3:58,,93,3034,2005,8,1,"track:""Diamonds from Sierra Leone""",34KUIBsIUiPV7oCIzSdDAU,spotify:track:34KUIBsIUiPV7oCIzSdDAU,63.0,,,,,,,,,
Late Registration,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,21,Late,3:50,,91,3301,2005,8,1,"track:""Late""",0EoSrTdvumvFADnIUmRw0I,spotify:track:0EoSrTdvumvFADnIUmRw0I,52.0,,,,,,,,,
Graduation,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,1,Good Morning,3:15,,92,4703,2007,9,1,"track:""Good Morning""",6MXXY2eiWkpDCezVCc0cMH,spotify:track:6MXXY2eiWkpDCezVCc0cMH,73.0,,,,,,,,,
Graduation,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,2,Champion,2:47,,91,4647,2007,9,1,"track:""Champion""",5rS8XETVAYJGfDPW8DSrY5,spotify:track:5rS8XETVAYJGfDPW8DSrY5,48.0,,,,,,,,,
Graduation,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,3,Stronger,5:11,,92,4733,2007,9,1,"track:""Stronger""",0j2T0R9dR9qdJYsB7ciXhf,spotify:track:0j2T0R9dR9qdJYsB7ciXhf,83.0,,,,,,,,,
Graduation,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,4,I Wonder,4:03,,95,4772,2007,9,1,"track:""I Wonder""",7rbECVPkY5UODxoOUVKZnA,spotify:track:7rbECVPkY5UODxoOUVKZnA,83.0,,,,,,,,,
Graduation,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,5,Good Life,3:27,T-Pain,89,4570,2007,9,1,"track:""Good Life""",6OtCIsQZ64Vs1EbzztvAv4,spotify:track:6OtCIsQZ64Vs1EbzztvAv4,75.0,,,,,,,,,
Graduation,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,6,Can't Tell Me Nothing,4:31,,92,4660,2007,9,1,"track:""Can't Tell Me Nothing""",0mEdbdeRFQwBhN4xfyIeUM,spotify:track:0mEdbdeRFQwBhN4xfyIeUM,84.0,,,,,,,,,
Graduation,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,7,Barry Bonds,3:24,Lil Wayne,74,4488,2007,9,1,"track:""Barry Bonds""",7387VaiHpOsSIZ5nmjseya,spotify:track:7387VaiHpOsSIZ5nmjseya,63.0,,,,,,,,,
Graduation,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,8,Drunk and Hot Girls,5:13,Mos Def,61,4560,2007,9,1,"track:""Drunk and Hot Girls""",7DRuzSlhjKadgdsQRYZ0tr,spotify:track:7DRuzSlhjKadgdsQRYZ0tr,62.0,,,,,,,,,
Graduation,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,9,Flashing Lights,3:57,Dwele,95,4763,2007,9,1,"track:""Flashing Lights""",5TRPicyLGbAF2LGBFbHGvO,spotify:track:5TRPicyLGbAF2LGBFbHGvO,87.0,,,,,,,,,
Graduation,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,10,Everything I Am,3:47,DJ Premier,91,4576,2007,9,1,"track:""Everything I Am""",0NrtwAmRAdLxua31SzHvXr,spotify:track:0NrtwAmRAdLxua31SzHvXr,76.0,,,,,,,,,
Graduation,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,11,The Glory,3:32,,85,4426,2007,9,1,"track:""The Glory""",0lWjRSzq5chA9fps3pM8Zr,spotify:track:0lWjRSzq5chA9fps3pM8Zr,67.0,,,,,,,,,
Graduation,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,12,Homecoming,3:23,Chris Martin,93,4644,2007,9,1,"track:""Homecoming""",4iz9lGMjU1lXS51oPmUmTe,spotify:track:4iz9lGMjU1lXS51oPmUmTe,83.0,,,,,,,,,
Graduation,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,13,Big Brother,4:47,,87,4427,2007,9,1,"track:""Big Brother""",2L47m9erkB5KBZcaqWtYen,spotify:track:2L47m9erkB5KBZcaqWtYen,65.0,,,,,,,,,
808s & Heartbreak,"Synthpop, Electropop, Art Pop, Pop Rap, Alternative R&B",74,80,1,Say You Will,6:17,,85,2886,2008,11,1,"track:""Say You Will""",4MOVvLoJH0Q9V6hIjarPjP,spotify:track:4MOVvLoJH0Q9V6hIjarPjP,49.0,,,,,,,,,
808s & Heartbreak,"Synthpop, Electropop, Art Pop, Pop Rap, Alternative R&B",74,80,2,Welcome to Heartbreak,4:22,Kid Cudi,88,2898,2008,11,1,"track:""Welcome to Heartbreak""",3F18I7LhWKxlf1PytSoTBH,spotify:track:3F18I7LhWKxlf1PytSoTBH,61.0,,,,,,,,,
808s & Heartbreak,"Synthpop, Electropop, Art Pop, Pop Rap, Alternative R&B",74,80,3,Heartless,3:31,,93,3015,2008,11,1,"track:""Heartless""",4EWCNWgDS8707fNSZ1oaA5,spotify:track:4EWCNWgDS8707fNSZ1oaA5,86.0,,,,,,,,,
808s & Heartbreak,"Synthpop, Electropop, Art Pop, Pop Rap, Alternative R&B",74,80,4,Amazing,3:58,Young Jeezy,83,2843,2008,11,1,"track:""Amazing""",6D5t9MmolqI4gUPVzsNr5k,spotify:track:6D5t9MmolqI4gUPVzsNr5k,10.0,,,,,,,,,
808s & Heartbreak,"Synthpop, Electropop, Art Pop, Pop Rap, Alternative R&B",74,80,5,Love Lockdown,4:30,,88,2871,2008,11,1,"track:""Love Lockdown""",1kxeWHF9PrCVZHvVskv8lg,spotify:track:1kxeWHF9PrCVZHvVskv8lg,66.0,,,,,,,,,
808s & Heartbreak,"Synthpop, Electropop, Art Pop, Pop Rap, Alternative R&B",74,80,6,Paranoid,4:37,Mr Hudson,91,2914,2008,11,1,"track:""Paranoid""",3Jnxngdff0lVu2rza1GVx6,spotify:track:3Jnxngdff0lVu2rza1GVx6,81.0,,,,,,,,,
808s & Heartbreak,"Synthpop, Electropop, Art Pop, Pop Rap, Alternative R&B",74,80,7,RoboCop,4:34,,81,2819,2008,11,1,"track:""RoboCop""",02LAK7qT1wya0klSeNO96f,spotify:track:02LAK7qT1wya0klSeNO96f,57.0,,,,,,,,,
808s & Heartbreak,"Synthpop, Electropop, Art Pop, Pop Rap, Alternative R&B",74,80,8,Street Lights,3:09,,91,2891,2008,11,1,"track:""Street Lights""",6j8gTlbhj9KJSeypNcNAS9,spotify:track:6j8gTlbhj9KJSeypNcNAS9,63.0,,,,,,,,,
808s & Heartbreak,"Synthpop, Electropop, Art Pop, Pop Rap, Alternative R&B",74,80,9,Bad News,3:58,,78,2740,2008,11,1,"track:""Bad News""",7FxzgizJRGTQ3fxUqfvljg,spotify:track:7FxzgizJRGTQ3fxUqfvljg,70.0,,,,,,,,,
808s & Heartbreak,"Synthpop, Electropop, Art Pop, Pop Rap, Alternative R&B",74,80,10,See You in My Nightmares,4:18,Lil Wayne,73,2762,2008,11,1,"track:""See You in My Nightmares""",5zuoz1NBnpoHK6g5sbEH8F,spotify:track:5zuoz1NBnpoHK6g5sbEH8F,57.0,,,,,,,,,
808s & Heartbreak,"Synthpop, Electropop, Art Pop, Pop Rap, Alternative R&B",74,80,11,Coldest Winter,2:44,,86,2813,2008,11,1,"track:""Coldest Winter""",2RRFTLIglxHgAYQzsSLI4Y,spotify:track:2RRFTLIglxHgAYQzsSLI4Y,58.0,,,,,,,,,
808s & Heartbreak,"Synthpop, Electropop, Art Pop, Pop Rap, Alternative R&B",74,80,12,Pinocchio Story (Freestyle Live From Singapore),6:01,,74,2454,2008,11,0,,,,,,,,,,,,,
My Beautiful Dark Twisted Fantasy,"Pop Rap, Art Pop, Experimental Hip Hop",91,89,1,Dark Fantasy,4:40,,94,6305,2010,11,1,"track:""Dark Fantasy""",7yNK27ZTpHew0c55VvIJgm,spotify:track:7yNK27ZTpHew0c55VvIJgm,70.0,,,,,,,,,
My Beautiful Dark Twisted Fantasy,"Pop Rap, Art Pop, Experimental Hip Hop",91,89,2,Gorgeous,5:57,"Kid Cudi, Raekwon",91,6189,2010,11,1,"track:""Gorgeous""",5T0mnzMsyHtmWB7Kou51Ph,spotify:track:5T0mnzMsyHtmWB7Kou51Ph,75.0,,,,,,,,,
My Beautiful Dark Twisted Fantasy,"Pop Rap, Art Pop, Experimental Hip Hop",91,89,3,POWER,4:52,,96,6374,2010,11,1,"track:""POWER""",2gZUPNdnz5Y45eiGxpHGSc,spotify:track:2gZUPNdnz5Y45eiGxpHGSc,80.0,,,,,,,,,
My Beautiful Dark Twisted Fantasy,"Pop Rap, Art Pop, Experimental Hip Hop",91,89,4,All of the Lights (Interlude),1:02,,87,4275,2010,11,1,"track:""All of the Lights (Interlude)""",4D6TpthzUVNTjWQqfBW5Kb,spotify:track:4D6TpthzUVNTjWQqfBW5Kb,60.0,,,,,,,,,
My Beautiful Dark Twisted Fantasy,"Pop Rap, Art Pop, Experimental Hip Hop",91,89,5,All of the Lights,4:59,,93,6298,2010,11,1,"track:""All of the Lights""",22L7bfCiAkJo5xGSQgmiIO,spotify:track:22L7bfCiAkJo5xGSQgmiIO,81.0,,,,,,,,,
