event_id,date,year,period,event,category,emotion_expected,notes
1,2013-02-05,2013,Yeezus Era,Kanye criticizes Nike publicly,business,anger; defiance,Start of major fashion conflict
2,2013-03-10,2013,Yeezus Era,"You ain't got the answers, Sway!" interview,public,anger; frustration,Iconic emotional outburst
3,2013-03-28,2013,Yeezus Era,Kanye begins Yeezus studio sessions,music,excitement; ambition,New sonic direction
4,2013-04-15,2013,Yeezus Era,Kanye moves to Paris for fashion work,fashion,anticipation; pride,
5,2013-06-18,2013,Yeezus Era,Release of Yeezus,music,anger; rebellion; ambition,Industry-disrupting album
6,2013-08-23,2013,Yeezus Era,Bound 2 music video backlash,public,surprise; amusement,Heavy meme activity
7,2013-10-21,2013,Yeezus Era,Proposal to Kim Kardashian,personal,joy; love,
8,2013-12-01,2013,Yeezus Era,Kanye begins developing Yeezy Season,fashion,anticipation; pride,

9,2014-02-20,2014,Family Era,Kanye announces long-term Adidas partnership,business,optimism; pride,Massive deal for Yeezy
10,2014-05-24,2014,Family Era,Wedding with Kim Kardashian,personal,joy; trust,
11,2014-06-12,2014,Family Era,Kanye performs emotional Bonnaroo set,music,excitement; pride,
12,2014-07-01,2014,Family Era,Kanye complains about fashion industry gatekeeping,public,anger; annoyance,
13,2014-12-01,2014,Family Era,Kanye begins recording new album,music,anticipation; creativity,

14,2015-02-12,2015,TLop Build-Up,Yeezy Season 1 runway show,fashion,pride; excitement,
15,2015-03-01,2015,TLop Build-Up,Kanye announces SO HELP ME GOD album title,public,excitement; confusion,
16,2015-06-15,2015,TLop Build-Up,Birth of Saint West,personal,joy; caring,
17,2015-08-30,2015,TLop Build-Up,VMAs speech "I will run for president",public,surprise; ambition; mania,Legendary moment
18,2015-12-09,2015,TLop Build-Up,Album name changes to SWISH,public,confusion; excitement,
19,2015-12-31,2015,TLop Build-Up,Twitter creative frustration rants,public,anger; mania,

20,2016-02-11,2016,TLOP Era,MSG TLOP debut + fashion show,public,excitement; chaos,
21,2016-02-14,2016,TLOP Era,Release of The Life of Pablo,music,excitement; creative chaos,
22,2016-03-15,2016,TLOP Era,Kanye updates album post-release,music,confusion; innovation,First “living album”
23,2016-06-01,2016,Mental Health Crisis,Increasing erratic tweets,public,nervousness; confusion,
24,2016-11-20,2016,Mental Health Crisis,Kanye hospitalized for exhaustion,health,fear; sadness,
25,2016-12-10,2016,Mental Health Crisis,Kanye meets Trump at Trump Tower,political,surprise; confusion,
26,2016-12-20,2016,Mental Health Crisis,Cancellation of Saint Pablo Tour,public,sadness; fear,

27,2017-02-15,2017,Recovery Era,Kanye deletes entire Twitter feed,platform,neutral; retreat,Start of withdrawal phase
28,2017-05-01,2017,Recovery Era,Kanye moves to Wyoming temporarily,personal,introspection; calm,
29,2017-11-03,2017,Recovery Era,Kanye begins secret Wyoming sessions,music,anticipation; creativity,

30,2018-04-25,2018,Political Era,MAGA tweets explode online,public,anger; shock; confusion,
31,2018-05-01,2018,Political Era,"Slavery was a choice" statement,public,disgust; shock,
32,2018-05-15,2018,Political Era,Kanye appears on TMZ rant,public,anger; confusion,
33,2018-06-01,2018,Wyoming Sessions,Release of Ye,music,fear; vulnerability,
34,2018-06-08,2018,Wyoming Sessions,Release of Kids See Ghosts,music,healing; reflection,
35,2018-10-13,2018,Political Era,Kanye meets Trump in Oval Office,political,mania; excitement,

36,2019-01-01,2019,Sunday Service Era,First Sunday Service gathering,spiritual,trust; joy,
37,2019-04-21,2019,Sunday Service Era,Easter Sunday performance,public,joy; spirituality,
38,2019-10-25,2019,Sunday Service Era,Release of Jesus Is King,music,spirituality; trust,
39,2019-12-25,2019,Sunday Service Era,Christmas Service Album,music,joy; spirituality,


40,2020-07-04,2020,Presidential Run,Kanye launches presidential campaign,political,mania; excitement,
41,2020-07-19,2020,Presidential Run,Emotional South Carolina rally,public,grief; anxiety; mania,
42,2020-09-01,2020,Presidential Run,Twitter spree accusing family,public,fear; confusion,
43,2020-12-31,2020,Divorce Era,Kim & Kanye separation becomes public,personal,sadness; grief,

44,2021-06-30,2021,Donda Era,First Donda listening rehearsals,music,anticipation; excitement,
45,2021-07-22,2021,Donda Era,First Donda Listening Party (Atlanta),public,anticipation; awe,
46,2021-08-05,2021,Donda Era,Second Listening Party(public),public,anticipation; awe,
47,2021-08-29,2021,Donda Era,Release of Donda,music,spirituality; sadness,
48,2021-12-20,2021,Donda Era,Kanye asks Kim to reunite publicly,public,sadness; longing,

49,2022-10-08,2022,Scandal Era,Anti-semitic tweet spree,public,anger; disgust,
50,2022-10-24,2022,Scandal Era,Adidas drops Kanye,business,fear; shame,
51,2022-12-02,2022,Scandal Era,Kanye banned from Twitter by Elon,platform,anger; fear,
52,2022-12-15,2022,Scandal Era,Kanye praises Hitler on stream,public,disgust; shock,

53,2023-07-29,2023,Reactivation Era,Twitter account reinstated by Elon,platform,neutral; slight excitement,
54,2023-12-20,2023,Reactivation Era,Kanye begins teasing new music,music,anticipation; curiosity,

55,2024-02-10,2024,Low Activity Era,Secret studio sightings,music,anticipation; mystery,
56,2024-07-01,2024,Low Activity Era,Kanye reduces online presence drastically,public,neutral; introspection,

57,2025-02-15,2025,Account End,Kanye's Twitter account deleted,platform,anger; retreat,
58,2025-01-20,2025,Account End,Rumors of legal disputes surface,business,fear; confusion,
59,2025-02-10,2025,Account End,Final controversial tweets circulate,public,anger; shock,
60,2025-02-12,2025,Account End,Deletion of archive-related content,platform,retreat; confusion