year,month,era,key_event,category,mental_state,intensity,source,track_theme
2004,1,College Dropout Era,Finishing The College Dropout,music,creative_peak,4,Pitchfork,"college expulsion, drug propaganda"
2004,2,College Dropout Era,Release of The College Dropout,music,joy,5,Billboard,"college expulsion, drug propaganda"
2004,3,College Dropout Era,Through the Wire success,music,joy,4,RollingStone,"success, hustle, self-worth"
2004,4,College Dropout Era,First major tour,music,creative_peak,3,Variety,"intro, start"
2004,5,College Dropout Era,Beginning of GOOD Music,music,creative_peak,4,Guardian,"intro, start"
2004,6,College Dropout Era,More touring and promo,music,neutral,2,-- ,"ego, fame, downfall"
2004,7,College Dropout Era,Talks about car crash trauma,personal,grief,3,MTV,"injury, recovery, perseverance, faith"
2004,8,College Dropout Era,Jesus Walks wins VMA,music,joy,5,VMA,"struggle, redemption, surrender"
2004,9,College Dropout Era,Rise in media attention,public,neutral,2,Guardian,"chaos, fame, consequences"
2004,10,College Dropout Era,First controversies begin,public,chaotic,3,NYTimes,"conflict, reputation, pressure"
2004,11,College Dropout Era,Recording Late Registration begins,music,creative_peak,4,Pitchfork,"intro, start"
2004,12,College Dropout Era,Studio sessions continue,music,creative_peak,3,-- ,"new stage, overcoming difficulties, system"
2005,1,Late Registration Era,Work intensifies on album,music,creative_peak,4,Pitchfork,"grind, persistence, momentum"
2005,2,Late Registration Era,Collaboration with Jon Brion,music,creative_peak,4,Billboard,"struggle, revelation, duality"
2005,3,Late Registration Era,Touch the Sky concept begins,music,creative_peak,3,RollingStone,"danger, impact, unpredictability"
2005,4,Late Registration Era,First fashion statements,fashion,neutral,2,Vogue,"flexing, style, ego"
2005,5,Late Registration Era,Public confidence grows,public,mania_like,3,Guardian,"vulnerability, confession, identity"
2005,6,Late Registration Era,Diamonds from Sierra Leone released,music,public_controversy,4,NYTimes,"trauma, poverty, freedom"
2005,7,Late Registration Era,Live performances,music,neutral,2,-- ,"drugs, addiction, music, criticism of the authorities"
2005,8,Late Registration Era,Release of Late Registration,music,joy,5,Billboard,"college expulsion, drug propaganda"
2005,9,Late Registration Era,Katrina “George Bush hates Black people” moment,public,angry,5,NBC,"violence, growth, Black success"
2005,10,Late Registration Era,Massive fame spike,public,mania_like,4,Variety,"chaos, fame, consequences"
2005,11,Late Registration Era,Tours intensify,music,creative_peak,4,Billboard,"exploration, escape, adventure"
2005,12,Late Registration Era,Grammy nominations,music,joy,5,Grammy,"rap, gangsters"
2006,1,Graduation Pre-Era,Beginning early Graduation sessions,music,creative_peak,3,Pitchfork,"relationships, respect, mentoring, self-recognition"
2006,2,Graduation Pre-Era,Fashion interest grows,fashion,neutral,2,Vogue,"fast pace of life, success, luxury, control"
2006,3,Graduation Pre-Era,Public clashes with paparazzi begin,public,chaotic,3,TMZ,"conflict, reputation, pressure"
2006,4,Graduation Pre-Era,Touch the Sky tour,music,creative_peak,4,Billboard,"exploration, escape, adventure"
2006,5,Graduation Pre-Era,Grammy wins,music,joy,5,Grammy,"triumph, celebration"
2006,6,Graduation Pre-Era,Studio experimentation,music,creative_peak,3,RollingStone,sample
2006,7,Graduation Pre-Era,Relationship turmoil begins,personal,stress,3,Guardian,"blame, dysfunction, heartbreak"
2006,8,Graduation Pre-Era,More public appearances,public,neutral,2,-- ,"fame, identity, isolation"
2006,9,Graduation Pre-Era,Rumors about new direction,music,neutral,2,Pitchfork,"chaos, fame, consequences"
2006,10,Graduation Pre-Era,Increased work with Daft Punk,music,creative_peak,4,Billboard,"drugs, addiction, music, criticism of the authorities"
2006,11,Graduation Pre-Era,Beginning of Glow in the Dark concept,music,creative_peak,4,Variety,"intro, start"
2006,12,Graduation Pre-Era,Work continues,music,neutral,2,-- ,"grind, persistence, momentum"
2007,1,Graduation Era,Album sessions intensify,music,creative_peak,4,Pitchfork,"drugs, addiction, music, criticism of the authorities"
2007,2,Graduation Era,Good Life creation,music,creative_peak,4,Billboard,"success, brotherhood, flourishing"
2007,3,Graduation Era,Stronger completed,music,creative_peak,5,RollingStone,"triumph, greatness, overcoming difficulties, status, work"
2007,4,Graduation Era,Public feud with 50 Cent begins,public,mania_like,4,MTV,"rap, gangsters"
2007,5,Graduation Era,Tour prep,music,neutral,2,-- ,"intro, start"
2007,6,Graduation Era,Dr. Donda West health issues begin,family,stress,4,Guardian,"grandmother, family, illness, materialism, inheritance"
2007,7,Graduation Era,Graduation finalization,music,creative_peak,5,Pitchfork,"grief, finality, mourning"
2007,8,Graduation Era,Death of Donda West (shadow approaching),family,grief,5,-- ,"grief, finality, mourning"
2007,9,Graduation Era,Album releases,music,joy,5,Billboard,"drugs, addiction, music, criticism of the authorities"
2007,10,Graduation Era,Emotional instability begins,personal,depressive_low,4,NYTimes,"emotional collapse, burnout"
2007,11,Graduation Era,Glow in the Dark planning begins,music,creative_peak,3,Variety,"new stage, overcoming difficulties, system"
2007,12,Graduation Era,Mourning period,family,grief,5,Guardian,"mourning, remembrance"
2008,1,808s Era,Heartbreak themes emerge,music,grief,5,Pitchfork,"heartbreak, longing, regret"
2008,2,808s Era,Recording in Hawaii begins,music,depressive_low,4,RollingStone,"intro, start"
2008,3,808s Era,Autotune experimentation,music,creative_peak,4,Billboard,intro
2008,4,808s Era,Emotional withdrawal,personal,depressive_low,4,Guardian,"emotional collapse, burnout"
2008,5,808s Era,Homecoming performance,music,neutral,2,MTV,"tribute, legacy"
2008,6,808s Era,Glow In The Dark tour,music,creative_peak,4,Variety,"exploration, escape, adventure"
2008,7,808s Era,Death of friend/mentor (details),family,grief,4,-- ,"loss, trauma, loneliness"
2008,8,808s Era,Loneliness themes deepen,personal,depressive_low,5,NYTimes,"loss, trauma, loneliness"
2008,9,808s Era,Love Lockdown release,music,creative_peak,5,Billboard,"escape, freedom, escape from problems, liberation"
2008,10,808s Era,Public confusion at new style,public,chaotic,3,Guardian,"flexing, style, ego"
2008,11,808s Era,Release of 808s & Heartbreak,music,grief,5,Pitchfork,"heartbreak, disappointment, loss"
2008,12,808s Era,Emotional collapse moments,personal,depressive_low,5,-- ,"emotional collapse, burnout"
2009,1,Post-808s Era,Beginning recovery period,personal,depressive_low,4,Guardian,"injury, recovery, perseverance, faith"
2009,2,Post-808s Era,Runaway ideas early spark,music,creative_peak,3,RollingStone,"dreams, ambitions, doubts, self-discovery, comparison"
2009,3,Post-808s Era,More studio work,music,neutral,2,-- ,"ambition, validation, progress"
2009,4,Post-808s Era,Red carpet controversies,public,chaotic,3,TMZ,"conflict, reputation, pressure"
2009,5,Post-808s Era,Growth of fashion interest,fashion,neutral,2,Vogue,"status, consumerism, money"
2009,6,Post-808s Era,Amber Rose relationship begins,personal,neutral,2,Guardian,"surreal love, obsession"
2009,7,Post-808s Era,Early My Beautiful Dark Fantasy concepts,music,creative_peak,3,Pitchfork,"escapism, fantasy, excess"
2009,8,Post-808s Era,Tour appearances,music,neutral,2,-- ,"chaos, fame, consequences"
2009,9,Post-808s Era,Taylor Swift VMA interruption,public,chaotic,5,VMA,"chaos, spectacle, ego"
2009,10,Post-808s Era,Massive public backlash,public,depressive_low,5,NYTimes,"conflict, reputation, pressure"
2009,11,Post-808s Era,Self-isolation in Italy,personal,depressive_low,4,Guardian,"emotional distance, control, isolation"
2009,12,Post-808s Era,Move to Hawaii for creation camp,music,creative_peak,4,RollingStone,"spiritual transformation, liberation, search for faith, search for meaning"
2010,1,MBDTF Era,Hawaii sessions full swing,music,creative_peak,5,Pitchfork,"alcohol, women, escapism"
2010,2,MBDTF Era,Power created,music,creative_peak,5,Billboard,"chaos, rebellion, energy"
2010,3,MBDTF Era,Runaway conceptualization,music,creative_peak,5,RollingStone,"judgment, misunderstanding, struggle"
2010,4,MBDTF Era,Monster recording,music,creative_peak,5,Pitchfork,"chaos, spectacle, ego"
2010,5,MBDTF Era,Nicki Minaj verse recording,music,creative_peak,5,Billboard,"rap, gangsters"
2010,6,MBDTF Era,Good Fridays begin,public,joy,4,Guardian,"intro, start"
2010,7,MBDTF Era,Runaway film production begins,music,creative_peak,5,Variety,"chaos, fame, consequences"
2010,8,MBDTF Era,Runaway teaser released,public,joy,4,YouTube,intro
2010,9,MBDTF Era,Album finalization,music,creative_peak,5,Pitchfork,"new stage, overcoming difficulties, system"
2010,10,MBDTF Era,Runaway film released,music,joy,5,Billboard,"escape, freedom, escape from problems, liberation"
2010,11,MBDTF Era,Album released (critical acclaim),music,joy,5,RollingStone,"criticism, goal achievement, hope, triumph"
2010,12,MBDTF Era,Emotional stabilization begins,personal,neutral,2,-- ,"emotional numbness, freedom, healing"
2011,1,Watch The Throne Era,Early sessions with Jay-Z,music,creative_peak,4,Pitchfork,"rap, gangsters"
2011,2,Watch The Throne Era,Move sessions to Paris,music,creative_peak,4,Billboard,"new stage, overcoming difficulties, system"
2011,3,Watch The Throne Era,Otis concept begins,music,joy,4,RollingStone,"intro, start"
2011,4,Watch The Throne Era,Power dynamic tension rises,public,stress,3,Guardian,"chaos, rebellion, energy"
2011,5,Watch The Throne Era,H.A.M release,music,neutral,2,Pitchfork,"tribute, legacy"
2011,6,Watch The Throne Era,High-budget production,music,creative_peak,4,Variety,"fast pace of life, success, luxury, control"
2011,7,Watch The Throne Era,Album finalization,music,creative_peak,5,Billboard,"new stage, overcoming difficulties, system"
2011,8,Watch The Throne Era,Album release,music,joy,5,NYTimes,"drugs, addiction, music, criticism of the authorities"
2011,9,Watch The Throne Era,Massive tour launch,music,creative_peak,4,Guardian,"chaos, fame, consequences"
2011,10,Watch The Throne Era,Public praise,public,joy,4,RollingStone,"bragging, success, freedom"
2011,11,Watch The Throne Era,Kanye returns to solo focus,music,neutral,2,-- ,"rap, gangsters"
2011,12,Watch The Throne Era,Move toward Yeezus sound,music,creative_peak,3,Pitchfork,"rap, gangsters"
2012,1,Yeezus Era,Working on Cruel Summer,music,creative_peak,3,Billboard,"escapism, fantasy, excess"
2012,2,Yeezus Era,Public relationship with Kim begins,personal,neutral,2,Guardian,"affection, reconciliation"
2012,3,Yeezus Era,Studio sessions in London,music,creative_peak,3,Pitchfork,"drugs, addiction, music, criticism of the authorities"
2012,4,Yeezus Era,Paris recording sessions,music,creative_peak,3,Variety,"rap, gangsters"
2012,5,Yeezus Era,Watch The Throne Tour Europe,music,creative_peak,4,Billboard,"chaos, fame, consequences"
2012,6,Yeezus Era,Mercy chart success,music,neutral,2,RollingStone,"rescue, faith, surrender"
2012,7,Yeezus Era,Continues Cruel Summer production,music,creative_peak,3,Pitchfork,"escapism, fantasy, excess"
2012,8,Yeezus Era,Cruel Summer film premiere,fashion,neutral,2,Variety,"death, slavery, relationships, society, cruelty, rasism"
2012,9,Yeezus Era,Promotion of G.O.O.D. Music,music,neutral,2,RollingStone,"drugs, addiction, music, criticism of the authorities"
2012,10,Yeezus Era,Kim announces pregnancy,family,joy,4,Guardian,"fatherhood, legacy, regret"
2012,11,Yeezus Era,Recording Yeezus begins,music,creative_peak,4,Pitchfork,"intro, start"
2012,12,Yeezus Era,Private sessions in Hawaii,music,creative_peak,4,Billboard,"alcohol, women, escapism"
2013,1,Yeezus Era,Expecting first child,family,joy,3,Guardian,"fatherhood, protection, vulnerability"
2013,2,Yeezus Era,Recording Yeezus intensifies,music,creative_peak,4,Pitchfork,"rap, gangsters"
2013,3,Yeezus Era,I Am A God developed,music,creative_peak,4,RollingStone,"faith, revelation, intensity"
2013,4,Yeezus Era,First TV performance scheduled,music,neutral,2,Variety,"intro, start"
2013,5,Yeezus Era,New Slaves projection events,public,mania_like,4,Guardian,"death, slavery, relationships, society, cruelty, rasism"
2013,6,Yeezus Era,Release of Yeezus,music,creative_peak,5,Billboard,"rap, gangsters"
2013,6,Yeezus Era,SNL Black Skinhead performance,public,angry,4,NBC,"racism, struggle, self-worth"
2013,7,Yeezus Era,Birth of daughter North,family,joy,5,Guardian,"fatherhood, legacy, regret"
2013,8,Yeezus Era,Minimal interviews,personal,neutral,2,--,intro
2013,9,Yeezus Era,Yeezus Tour preparations,music,creative_peak,3,Pitchfork,"anticipation, buildup"
2013,10,Yeezus Era,Kanye proposes to Kim,family,joy,5,Variety,"affection, reconciliation"
2013,11,Yeezus Era,Yeezus Tour begins,music,creative_peak,4,Billboard,"intro, start"
2013,12,Yeezus Era,Tour continues,music,neutral,2,RollingStone,"exploration, escape, adventure"
2014,1,Pablo Pre-Era,Work on new album begins,music,creative_peak,3,Pitchfork,"new stage, overcoming difficulties, system"
2014,2,Pablo Pre-Era,Public fashion appearances,fashion,neutral,2,Variety,"flexing, style, ego"
2014,3,Pablo Pre-Era,Collabs with Adidas,fashion,creative_peak,3,Forbes,"money, girl, commercialism"
2014,4,Pablo Pre-Era,Wedding preparations,family,joy,4,Guardian,"celebration, joy, success, overcoming difficulties"
2014,5,Pablo Era,Marriage to Kim,family,joy,5,Guardian,"affection, reconciliation"
2014,6,Pablo Era,Recording sessions in Mexico,music,creative_peak,3,Pitchfork,"rap, gangsters"
2014,7,Pablo Era,Work on Wolves begins,music,creative_peak,3,Billboard,"intro, start"
2014,7,Pablo Pre-Era,Incident with photographer (legal case),public,chaotic,4,TMZ,"retaliation, boundaries"
2014,8,Pablo Era,Adidas Yeezy development,fashion,creative_peak,3,Forbes,"flexing, style, ego"
2014,9,Pablo Era,Public shows and performances,music,neutral,2,RollingStone,"fame, identity, isolation"
2014,10,Pablo Era,Intense studio sessions,music,creative_peak,4,Pitchfork,"burnout, overload, chaos"
2014,11,Pablo Era,More Adidas projects,fashion,neutral,2,Variety,"ambition, validation, progress"
2014,12,Pablo Era,Quiet month with family,personal,neutral,1,Guardian,"mourning, remembrance"
2015,1,Pablo Era,Work continues on SWISH (early TLOP),music,creative_peak,3,Pitchfork,"grind, persistence, momentum"
2015,2,Pablo Era,First Yeezy Season 1 show,fashion,creative_peak,4,Vogue,"intro, start"
2015,3,Pablo Era,Only One release,music,grief,3,Billboard,"struggle, redemption, surrender"
2015,3,Pablo Era,Birth of son Saint West,family,joy,5,Guardian,"fatherhood, legacy, regret"
2015,4,Pablo Era,Recording with Paul McCartney,music,creative_peak,3,RollingStone,"drugs, addiction, music, criticism of the authorities"
2015,5,Pablo Era,Quiet family period,personal,neutral,1,Guardian,"separation, longing, co-parenting"
2015,6,Pablo Era,Yeezy Season 2 development,fashion,neutral,2,Forbes,"flexing, style, ego"
2015,7,Pablo Era,Studio work intensifies,music,creative_peak,4,Pitchfork,"ambition, validation, progress"
2015,8,Pablo Era,MTV Vanguard Award speech,public,chaotic,4,Variety,"tribute, legacy"
2015,9,Pablo Era,Kanye announces presidential run 2020,public,mania_like,4,Guardian,"rap, gangsters"
2015,10,Pablo Era,Work on Waves/Swish,music,creative_peak,3,Billboard,"grind, persistence, momentum"
2015,11,Pablo Era,Announces new album title,music,neutral,2,RollingStone,"triumph, celebration"
2015,12,Pablo Era,Finishing work on TLOP,music,creative_peak,4,Pitchfork,"ambition, validation, progress"
2016,1,Pablo Era,Releases Facts,music,neutral,2,Billboard,"proclamation, faith"
2016,1,Pablo Era,Twitter feud with Wiz Khalifa,public,mania_like,4,Twitter,"conflict, ego, retaliation"
2016,2,Pablo Era,Release of The Life of Pablo,music,creative_peak,5,Pitchfork,"success, excess, escapism"
2016,3,Pablo Era,Major updates to TLOP streaming,music,chaotic,3,Variety,"tribute, legacy"
2016,3,Pablo Era,Famous lyric backlash controversy,public,chaotic,5,Billboard,"drugs, addiction, music, criticism of the authorities"
2016,4,Pablo Era,Intense tweetstorms,public,chaotic,4,Guardian,"chaos, fame, consequences"
2016,5,Pablo Era,Yeezy Season 3 fallout,fashion,chaotic,3,Forbes,"rap, gangsters"
2016,6,Pablo Era,Saint Pablo Tour begins,music,creative_peak,4,Billboard,"exploration, escape, adventure"
2016,7,Pablo Era,Taylor Swift phone call controversy,scandal,public_controversy,4,NYTimes,"conflict, reputation, pressure"
2016,8,Pablo Era,High energy performances,music,mania_like,4,RollingStone,"flexing, style, ego"
2016,9,Pablo Era,Saint Pablo stage incident,public,chaotic,4,Variety,"chaos, spectacle, ego"
2016,10,Pablo Era,Kardashian robbery,personal,stress,4,Guardian,"money, girl, commercialism"
2016,11,Pablo Era,Saint Pablo Tour cancelled,health,depressive_low,5,NYTimes,"college expulsion, drug propaganda"
2016,12,Pablo Era,Hospitalization (exhaustion),health,depressive_low,5,TMZ,"emotional collapse, burnout"
2017,1,Post-Pablo Era,Recovery from hospitalization,health,depressive_low,4,Guardian,"injury, recovery, perseverance, faith"
2017,2,Post-Pablo Era,Quiet month,personal,neutral,1,--,"mourning, remembrance"
2017,3,Post-Pablo Era,Fashion collaborations,fashion,neutral,2,Forbes,"chaos, identity, fame"
2017,4,Post-Pablo Era,Recording in Wyoming begins,music,creative_peak,3,Pitchfork,"intro, start"
2017,5,Post-Pablo Era,Family time,personal,neutral,1,Guardian,"affection, reconciliation"
2017,6,Post-Pablo Era,Minimal public presence,personal,neutral,1,--,"fame, identity, isolation"
2017,7,Post-Pablo Era,Yeezy Season expansions,fashion,neutral,2,Forbes,"rap, gangsters"
2017,7,Post-Pablo Era,Break with Tidal / tension with Jay-Z,business,stress,3,Pitchfork,"rap, gangsters"
2017,8,Post-Pablo Era,Wyoming creative camp,music,creative_peak,4,Pitchfork,"exploration, escape, adventure"
2017,9,Post-Pablo Era,No major appearances,personal,neutral,1,--,"fame, identity, isolation"
2017,10,Post-Pablo Era,Album brainstorming,music,creative_peak,3,RollingStone,"drugs, addiction, music, criticism of the authorities"
2017,11,Post-Pablo Era,Kanye keeps low profile,personal,neutral,1,Guardian,"fame, identity, isolation"
2017,12,Post-Pablo Era,Studio camps continue,music,creative_peak,3,Pitchfork,"chaos, fame, consequences"
2018,1,Ye Era,Wyoming recordings intensify,music,creative_peak,4,Pitchfork,sample
2018,2,Ye Era,Quiet period,personal,neutral,1,--,"mourning, remembrance"
2018,3,Ye Era,Return to Twitter,public,mania_like,4,Variety,"reconnection, healing"
2018,4,Ye Era,Pro-Trump spree begins,public,chaotic,5,Guardian,"chaos, aggression, unity"
2018,5,Ye Era,Slavery was a choice interview,public,chaotic,5,TMZ,"death, slavery, relationships, society, cruelty, rasism"
2018,6,Ye Era,Release of Ye,music,creative_peak,4,Pitchfork,"new stage, crisis, religion, sex, temptation, holiness"
2018,6,Ye Era,Public confirmation of bipolar disorder,health,mania_like,4,NYTimes,"mania, fear, self-control"
2018,7,Ye Era,Release of Kids See Ghosts,music,creative_peak,4,Billboard,"detachment, playfulness, surrealism"
2018,8,Ye Era,Instagram activity high,public,mania_like,3,Variety,"fame, temptation, escapism"
2018,9,Ye Era,Sunday Service beginnings,spiritual,3,RollingStone,,"intro, start"
2018,10,Ye Era,White House visit,public,chaotic,5,NYTimes,"memory, family, legacy"
2018,11,Ye Era,Sunday Services grow,spiritual_phase,3,Guardian,,"praise, devotion, spiritual uplift"
2018,12,Ye Era,Album delay,public,neutral,2,Pitchfork,"anticipation, buildup"
2019,1,JIK Era,Daily Sunday Services start,spiritual,4,RollingStone,,"intro, start"
2019,2,JIK Era,Gospel choir expansion,spiritual,4,Guardian,,"praise, devotion, spiritual uplift"
2019,3,JIK Era,Album reworks begin,music,chaotic,3,Pitchfork,"new stage, overcoming difficulties, system"
2019,4,JIK Era,Sunday Service at Coachella,spiritual_phase,5,Billboard,,"praise, devotion, spiritual uplift"
2019,4,JIK Era,Viral Sunday Service performance (Jesus Walks),spiritual_phase,creative_peak,5,YouTube,"new stage, crisis, religion, sex, temptation, holiness"
2019,5,JIK Era,Religious shift intensifies,spiritual_phase,4,Guardian,,"new stage, crisis, religion, sex, temptation, holiness"
2019,6,JIK Era,Work on Jesus Is King,music,creative_peak,4,Pitchfork,"spiritual transformation, liberation, search for faith, search for meaning"
2019,7,JIK Era,Public preaching,spiritual,3,Variety,,"proclamation, faith"
2019,8,JIK Era,Album delays continue,music,chaotic,3,NYTimes,"loneliness, waiting, emotional conflict"
2019,9,JIK Era,Movie & album announcement,public,spiritual_phase,3,Forbes,"proclamation, faith"
2019,10,JIK Era,Jesus Is King released,music,spiritual_phase,5,Billboard,"new stage, crisis, religion, sex, temptation, holiness"
2019,11,JIK Era,Opera Nebuchadnezzar,music,creative_peak,3,RollingStone,"triumph, celebration"
2019,12,JIK Era,Holiday services,spiritual,3,Guardian,,"mourning, remembrance"
2020,1,Presidential Era,Recording Donda,music,creative_peak,4,Pitckfork,"intro, start"
2020,2,Presidential Era,Quiet period,personal,neutral,1,--,"mourning, remembrance"
2020,3,Presidential Era,Family tensions,personal,stress,3,Guardian,"conflict, guilt, fame, responsibility"
2020,4,Presidential Era,Album teasers,music,chaotic,3,Variety,intro
2020,5,Presidential Era,Tweets about finances,public,chaotic,3,NYTimes,"money, girl, commercialism"
2020,6,Presidential Era,Declares presidential run,public,mania_like,5,Forbes,"proclamation, faith"
2020,7,Presidential Era,South Carolina meltdown,public,chaotic,5,Guardian,"war, cowardice, politics"
2020,7,Presidential Era,Forbes political interview meltdown,public,mania_like,5,Forbes,"conflict, reputation, pressure"
2020,8,Presidential Era,Series of emotional tweets,public,mania_like,5,Variety,"heartbreak, obsession, emotion manipulation"
2020,9,Presidential Era,Leaking contracts online,public,chaotic,5,NYTimes,"reconciliation, vulnerability"
2020,10,Presidential Era,Campaign collapses,public,depressive_low,3,Guardian,"emotional collapse, burnout"
2020,11,Presidential Era,Minimal presence,personal,neutral,1,--,"mourning, remembrance"
2020,12,Presidential Era,Work on Donda resumes,music,creative_peak,3,Pitchfork,"proof of importance, hard work, self-confidence, moving forward"
2021,1,Donda Era,Isolated in Wyoming,music,neutral,2,Guardian,"exploration, escape, adventure"
2021,2,Donda Era,Work intensifies at stadium,music,creative_peak,4,NYTimes,"grind, persistence, momentum"
2021,3,Donda Era,Marital breakdown,family,grief,4,Variety,"separation, anger, closure"
2021,4,Donda Era,Minimal communication,personal,neutral,1,--,"reconciliation, vulnerability"
2021,5,Donda Era,First Donda listening,music,creative_peak,4,Billboard,"intro, start"
2021,6,Donda Era,Album delays,music,chaotic,3,Pitckfork,"anticipation, buildup"
2021,7,Donda Era,Living in stadium art project,public,chaotic,4,Guardian,"environment, survival, identity"
2021,8,Donda Era,Release of Donda,music,creative_peak,5,Pitckfork,"triumph, celebration"
2021,8,Donda Era,Conflict with Universal over Donda release,public,chaotic,4,Instagram,"conflict, reputation, pressure"
2021,9,Donda Era,Sunday Service returns,spiritual,3,RollingStone,,"reconnection, healing"
2021,10,Donda Era,Donda Deluxe announced,music,neutral,2,Billboard,"triumph, celebration"
2021,11,Donda Era,Charity appearances,personal,neutral,1,Guardian,"fame, temptation, escapism"
2021,12,Donda Era,Drake benefit concert,music,creative_peak,3,Variety,"rap, gangsters"
2022,1,Scandal Era,Instagram conflicts,public,chaotic,4,Guardian,"chaos, identity, fame"
2022,2,Scandal Era,Divorce finalized,family,grief,4,NYTimes,"separation, anger, closure"
2022,3,Scandal Era,More online fights,public,chaotic,4,Variety,"retaliation, boundaries"
2022,4,Scandal Era,Brand tensions,fashion,public_controversy,4,Forbes,"conflict, reputation, pressure"
2022,5,Scandal Era,Several controversies,fashion,public_controversy,3,NYTimes,"judgment, misunderstanding, struggle"
2022,6,Scandal Era,Quiet period,personal,neutral,1,--,"mourning, remembrance"
2022,7,Scandal Era,Album rumors,music,neutral,2,Pitckfork,"rap, gangsters"
2022,8,Scandal Era,Tension with Gap,fashion,chaotic,4,NYTimes,"conflict, perseverance"
2022,9,Scandal Era,White Lives Matter show,public,chaotic,5,Guardian,"politics, oppression, identity"
2022,10,Scandal Era,Anti-semitic statements,public,chaotic,5,NYTimes,"politics, oppression, identity"
2022,11,Scandal Era,Loss of Adidas partnership,business,public_controversy,5,Forbes,"reconciliation, vulnerability"
2022,12,Scandal Era,Media silence begins,personal,neutral,1,--,"intro, start"
2022,12,Scandal Era,Alex Jones podcast appearance (infamous rant),public,chaotic,5,Infowars,"college expulsion, drug propaganda"
2023,1,Silence Era,Minimal activity,personal,neutral,1,--,"toxicity, idleness, society, alcohol, oblivion, cynicism"
2023,2,Silence Era,Studio rumors,music,neutral,2,Pitckfork,"chaos, fame, consequences"
2023,3,Silence Era,Travel and privacy,personal,neutral,1,Guardian,"protection, paranoia"
2023,4,Silence Era,No major events,personal,neutral,1,--,"war, cowardice, politics"
2023,5,Silence Era,Small leaks,music,neutral,2,Variety,"self-sabotage, guilt, honesty"
2023,6,Silence Era,Marriage to Bianca,family,neutral,2,NYTimes,"affection, reconciliation"
2023,7,Silence Era,Low media presence,personal,neutral,1,Guardian,"fame, identity, isolation"
2023,8,Silence Era,Music snippets leak,music,neutral,2,Pitckfork,"rap, gangsters"
2023,9,Silence Era,Design collaborations,fashion,neutral,2,Forbes,"blame, separation, conflict"
2023,10,Silence Era,Private performances,music,neutral,2,RollingStone,"fame, identity, isolation"
2023,11,Silence Era,Album rumors return,music,neutral,2,Billboard,"rap, gangsters"
2023,12,Silence Era,No controversies,personal,neutral,1,--,"judgment, misunderstanding, struggle"
2024,1,Silence Era,Minimal output,personal,neutral,1,--,intro
2024,2,Silence Era,Studio activity increases,music,creative_peak,3,Pitckfork,"burnout, overload, chaos"
2024,3,Silence Era,No controversies,personal,neutral,1,Guardian,"judgment, misunderstanding, struggle"
2024,4,Silence Era,Private fashion work,fashion,neutral,2,Forbes,"flexing, style, ego"
2024,5,Silence Era,Small leaks online,music,neutral,2,Variety,"protection, paranoia"
2024,6,Silence Era,Appearance in viral video,public,neutral,1,NYTimes,"chaos, identity, fame"
2024,7,Silence Era,Music activity increases,music,creative_peak,3,Pitckfork,"drugs, addiction, music, criticism of the authorities"
2024,8,Silence Era,Live sightings,public,neutral,1,Guardian,"chaos, spectacle, ego"
2024,9,Silence Era,Unreleased tracks surface,music,neutral,2,RollingStone,"nostalgia, R&B, romance"
2024,10,Silence Era,Partnership rumors,business,neutral,2,Forbes,"conflict, reputation, pressure"
2024,11,Silence Era,Personal life stable,personal,neutral,1,--,"love, stability, renewal"
2024,12,Silence Era,No major events,personal,neutral,1,--,"war, cowardice, politics"
2025,1,New Era,,personal,neutral,1,--,"girl, rep, support"
2025,2,New Era,XTwitter account terminated,public,public_controversy,4,Variety,"college expulsion, drug propaganda"
2025,3,New Era,Minimal public activity,personal,neutral,1,Guardian,"toxicity, idleness, society, alcohol, oblivion, cynicism"
2025,4,New Era,Studio rumors,music,neutral,2,Pitckfork,"chaos, fame, consequences"
2025,5,New Era,Private life,personal,neutral,1,--,"vulnerability, confession, identity"
2025,6,New Era,No major events,personal,neutral,1,--,"war, cowardice, politics"
